Espèces;Famille;Date;Nombre d'espèce;Prélèvement;Fungarium;N° Exsiccata;Récolteur(s);Déterminateur(s);Légataire récolte;Site;Fiabilité détermination;Commentaire
Galerina vittiformis (Fr.) Singer;Tubariaceae;29/11/2025;4;Oui;Oui;RNNCS-P20-291125-002;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;29/11/2025;3;Oui;Oui;RNNCS-P20-291125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;
Cuphophyllus russocoriaceus (Berk. & Miller) Bon;Hygrophoraceae;29/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;29/11/2025;5;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 20;Probable;Individus complètement noircis, dégradés.
Mycena leptocephala (Pers.) Gillet;Mycenaceae;29/11/2025;1;Oui;Oui;RNNCS-P19-291125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 19;Probable;
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;29/11/2025;5;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 16;Probable;Individus déjà très dégradés.
Clitocybe fragrans (With.) Kumm.;Clitocybaceae;29/11/2025;1;Oui;Oui;RNNCS-P13-291125-001;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 13;Probable;
Cuphophyllus virgineus (Wulfen) Kovalenko;Hygrophoraceae;29/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;
Hygrocybe euroflavescens Kühner;Hygrophoraceae;29/11/2025;1;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;Non prélevé car très dégradés.
Hygrocybe conica (Schaeff.) Kumm.;Hygrophoraceae;29/11/2025;2;Non;Non;;Eddy Boite;Eddy Boite;Eddy Boite;Pelouse 4;Probable;Individus très dégradés, noircis.
